traceid,spanid,parentspan,childspans,service,loginfo,spaninfo
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.0,-1,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.0;1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.0;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.1;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.2;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.3;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.4;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.5;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.6;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.7;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.8;1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.9,ts-preserve-service," preserve.service.PreserveServiceImpl -[Step 2] Complete; preserve.service.PreserveServiceImpl -[Step 3] Check tickets num; preserve.service.PreserveServiceImpl -[Step 1] Check Security Complete; preserve.service.PreserveServiceImpl -[Preserve Other Service][Get Trip All Detail Information] Getting....; preserve.service.PreserveServiceImpl -[Step 1] Check Security; preserve.service.PreserveServiceImpl -[Step 3] TripId: D1345; preserve.service.PreserveServiceImpl -[Step 2] Find contacts; preserve.service.PreserveServiceImpl -[Step 2] Contacts Id: 34799776-50b6-462a-b484-351f64b35b9a; p.controller.PreserveController -[Preserve] Account  order from Shang Hai -----> Su Zhou at Fri Aug 13 08:00:00 CST 2021; preserve.mq.RabbitSend -send info to mq:{""email"":""trainticket_notify@163.com"",""orderNumber"":""3afc8e33-8506-4321-ad80-28c460a55d0a"",""username"":""fdse_microservice"",""startingPlace"":""shanghai"",""endPlace"":""suzhou"",""startingTime"":""Sat May 04 07:00:00 CST 2013"",""date"":""Fri Aug 13 22:48:39 CST 2021"",""seatClass"":""FirstClassSeat"",""seatNumber"":""663055516"",""price"":""50.0""}; preserve.service.PreserveServiceImpl -[Preserve Service][Send Email] send email to mq; preserve.service.PreserveServiceImpl -[Step 7] Do not need to consign; preserve.service.PreserveServiceImpl -[Step 6] Buy Food Success; preserve.service.PreserveServiceImpl -[Cancel Order Service][Get Order By Id]; preserve.service.PreserveServiceImpl -[Preserve Service][Add food Order] Creating....; preserve.service.PreserveServiceImpl -[Step 4] Do Order Complete; preserve.service.PreserveServiceImpl -[Step 5] Do not need to buy assurance; preserve.service.PreserveServiceImpl -[Preserve Other Service][Get Contacts By Id] Creating....; preserve.service.PreserveServiceImpl -[Order Price] Price is: 50.0; preserve.service.PreserveServiceImpl -[Order] Order Travel Date: Fri Aug 13 08:00:00 CST 2021; preserve.service.PreserveServiceImpl -[Preserve Other Service][Get Station Name]; preserve.service.PreserveServiceImpl -[Step 3] Tickets Enough; preserve.service.PreserveServiceImpl -[Step 4] Do Order; preserve.service.PreserveServiceImpl -[Preserve Other Service][Get Station Name]; preserve.service.PreserveServiceImpl -TripAllDetail:TripAllDetail(status=false, message=null, tripResponse=TripResponse(tripId=D1345, startingStation=Shang Hai, terminalStation=Su Zhou, startingTime=Sat May 04 07:00:00 CST 2013, endTime=Sat May 04 07:16:00 CST 2013, economyClass=1073741459, confortClass=1073741459), trip=Trip(tripId=D1345, trainTypeId=DongCheOne, routeId=f3d4d4ef-693b-4456-8eed-59c0d717dd08, startingStationId=shanghai, stationsId=suzhou, terminalStationId=taiyuan, startingTime=Sat May 04 07:00:00 CST 2013, endTime=Sat May 04 19:59:52 CST 2013)); preserve.service.PreserveServiceImpl -TripResponse:TripResponse(tripId=D1345, startingStation=Shang Hai, terminalStation=Su Zhou, startingTime=Sat May 04 07:00:00 CST 2013, endTime=Sat May 04 07:16:00 CST 2013, economyClass=1073741459, confortClass=1073741459)",{POST}/api/v1/preserveservice/preserve
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.0,1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.0,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.1,ts-preserve-service, preserve.async.AsyncTask -[Preserve Other Service][Get Contacts By Id] Getting....,SpringAsync
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.1,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.0,119d8c7225134740b963c0d5561c2af7.39.16288661148110074.0,ts-preserve-service, preserve.async.AsyncTask -[Preserve Other Service][Get Contacts By Id] Getting....,/api/v1/contactservice/contacts/34799776-50b6-462a-b484-351f64b35b9a
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,119d8c7225134740b963c0d5561c2af7.39.16288661148110074.0,1e3c47720fe24523938fff342ebe6c0d.57.16288661148100148.1,119d8c7225134740b963c0d5561c2af7.39.16288661148110074.1,ts-contacts-service, contacts.service.ContactsServiceImpl -FIND CONTACTS BY ID: 34799776-50b6-462a-b484-351f64b35b9a; c.controller.ContactsController -[ContactsService][Contacts Id Print] 34799776-50b6-462a-b484-351f64b35b9a; c.controller.ContactsController -[ContactsService][VerifyLogin] Success.,{GET}/api/v1/contactservice/contacts/{id}
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,119d8c7225134740b963c0d5561c2af7.39.16288661148110074.1,119d8c7225134740b963c0d5561c2af7.39.16288661148110074.0,0,ts-contacts-service,0,MongoDB/FindOperation
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.0,1e3c47720fe24523938fff342ebe6c0d.43.16288661148030076.0,1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.1,ts-preserve-service, preserve.async.AsyncTask -[Preserve Other Service][Check Security] Checking....;preserve.async.AsyncTask -[Preserve Order Service] Delay Process，Wrong Preserve Process,SpringAsync
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.1,1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.0,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.0,ts-preserve-service, preserve.async.AsyncTask -[Preserve Other Service][Check Security] Checking....,/api/v1/securityservice/securityConfigs/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.0,1e3c47720fe24523938fff342ebe6c0d.58.16288661148100150.1,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.1;9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.2;9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.3;9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.4,ts-security-service, security.service.SecurityServiceImpl -Max In One Hour: 2147483647  Max Not Use: 2147483647; security.service.SecurityServiceImpl -[Get Order Other Info For Security] Last One Hour: 0  Total Valid Order: 1; security.service.SecurityServiceImpl -[Get Security Config Info]; security.service.SecurityServiceImpl -[Get Order Other Info For Security] Getting....; security.service.SecurityServiceImpl -[Get Order Info For Security] Last One Hour: 0  Total Valid Order: 367; security.service.SecurityServiceImpl -[Get Order Info For Security] Getting....; security.service.SecurityServiceImpl -[Get Order Num Info]; s.controller.SecurityController -[Check Security] Check Account Id: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,{GET}/api/v1/securityservice/securityConfigs/{accountId}
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.1,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.0,0838b9a1821340d6a7a1a179db8826d2.44.16288661188200452.0,ts-security-service, security.service.SecurityServiceImpl -[Get Order Other Info For Security] Getting....; security.service.SecurityServiceImpl -[Get Order Info For Security] Last One Hour: 0  Total Valid Order: 367,/api/v1/orderservice/order/security/Fri Aug 13 22:48:38 CST 2021/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
1e3c47720fe24523938fff342ebe6c0d.43.16288661148030077,0838b9a1821340d6a7a1a179db8826d2.44.16288661188200452.0,9868d8077bf1431ca2aa7749a9980db6.47.16288661188170068.1,0838b9a1821340d6a7a1a179db8826d2.44.16288661188200452.1,ts-order-service, order.controller.OrderController -[Security Info Get] 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,{GET}/api/v1/orderservice/order/security/{checkDate}/{accountId}
